algo,mdp,run,rho_empirical,rho_internal
DiffQL,stayvsburst,100,2.2212222222222224,2.251163354828692
DiffQL,stayvsburst,101,2.2244444444444444,2.2115029491521465
DiffQL,stayvsburst,102,2.227333333333333,2.204157755358638
DiffQL,stayvsburst,103,2.224222222222222,2.2394281564374237
DiffQL,stayvsburst,104,2.2186666666666666,2.235556522253104
DiffQL,stayvsburst,105,2.2256666666666667,2.225865125791609
DiffQL,stayvsburst,106,2.2217777777777776,2.222953631588846
DiffQL,stayvsburst,107,2.225,2.2341445323190805
DiffQL,stayvsburst,108,2.232111111111111,2.2613318871416572
DiffQL,stayvsburst,109,2.224222222222222,2.2543283308047664
DiffQL,stayvsburst,110,2.2226666666666666,2.208581938175366
DiffQL,stayvsburst,111,2.221888888888889,2.257910041555964
DiffQL,stayvsburst,112,2.219777777777778,2.2545167318361212
DiffQL,stayvsburst,113,2.2212222222222224,2.2522488932953304
DiffQL,stayvsburst,114,2.214777777777778,2.282759342146226
DiffQL,stayvsburst,115,2.219777777777778,2.217701545092519
DiffQL,stayvsburst,116,2.2182222222222223,2.242700768600691
DiffQL,stayvsburst,117,2.2176666666666667,2.2615663348879824
DiffQL,stayvsburst,118,2.217888888888889,2.2120762177972804
DiffQL,stayvsburst,119,2.2276666666666665,2.2704403384850202
DiffQL,stayvsburst,120,2.218777777777778,2.2562366027939667
DiffQL,stayvsburst,121,2.2222222222222223,2.2690285624403352
DiffQL,stayvsburst,122,2.2203333333333335,2.2327136420209697
DiffQL,stayvsburst,123,2.2265555555555556,2.242167195620651
DiffQL,stayvsburst,124,2.226777777777778,2.248306009147352
DiffQL,stayvsburst,125,2.228,2.256878664774751
DiffQL,stayvsburst,126,2.218111111111111,2.275069337412348
DiffQL,stayvsburst,127,2.222111111111111,2.23638834431989
DiffQL,stayvsburst,128,2.2203333333333335,2.2631873829349978
DiffQL,stayvsburst,129,2.2214444444444443,2.2361342333398104
DiffQL,stayvsburst,130,2.220111111111111,2.23826187416812
DiffQL,stayvsburst,131,2.2156666666666665,2.2792929619508255
DiffQL,stayvsburst,132,2.2262222222222223,2.261493149177617
DiffQL,stayvsburst,133,2.217111111111111,2.243920930802664
DiffQL,stayvsburst,134,2.228666666666667,2.2673170093894366
DiffQL,stayvsburst,135,2.2136666666666667,2.2662741895832923
DiffQL,stayvsburst,136,2.2177777777777776,2.2130011474399267
DiffQL,stayvsburst,137,2.2244444444444444,2.2085018675452486
DiffQL,stayvsburst,138,2.2212222222222224,2.282442963075042
DiffQL,stayvsburst,139,2.225111111111111,2.2617230189809208
DiffQL,stayvsburst,140,2.222777777777778,2.2418808413530833
DiffQL,stayvsburst,141,2.224,2.2419953587750308
DiffQL,stayvsburst,142,2.2208888888888887,2.2691996481614995
DiffQL,stayvsburst,143,2.225,2.253317925045648
DiffQL,stayvsburst,144,2.226,2.2463205372338244
DiffQL,stayvsburst,145,2.2213333333333334,2.2468782744237497
DiffQL,stayvsburst,146,2.220666666666667,2.206061776153322
DiffQL,stayvsburst,147,2.228222222222222,2.252876575067807
DiffQL,stayvsburst,148,2.2183333333333333,2.2447526186216376
DiffQL,stayvsburst,149,2.220666666666667,2.2843615045382237
DiffQL,stayvsburst,150,2.2323333333333335,2.2566056812107296
DiffQL,stayvsburst,151,2.2167777777777777,2.2523271740122945
DiffQL,stayvsburst,152,2.221,2.265548404214128
DiffQL,stayvsburst,153,2.2223333333333333,2.2274306299641204
DiffQL,stayvsburst,154,2.2215555555555557,2.2542867295697815
DiffQL,stayvsburst,155,2.2133333333333334,2.2179242097871583
DiffQL,stayvsburst,156,2.2253333333333334,2.255904230964946
DiffQL,stayvsburst,157,2.224222222222222,2.2434024084408013
DiffQL,stayvsburst,158,2.0,2.2429591805698283
DiffQL,stayvsburst,159,2.2274444444444446,2.2664500767740643
DiffQL,stayvsburst,160,2.2196666666666665,2.231041369238861
DiffQL,stayvsburst,161,2.226888888888889,2.213323553799658
DiffQL,stayvsburst,162,2.2243333333333335,2.2380807363565283
DiffQL,stayvsburst,163,2.2215555555555557,2.245530489809147
DiffQL,stayvsburst,164,2.2172222222222224,2.2747700563066675
DiffQL,stayvsburst,165,2.226777777777778,2.2738600101268327
DiffQL,stayvsburst,166,2.221111111111111,2.2716492490740565
DiffQL,stayvsburst,167,2.2186666666666666,2.2502349744246026
DiffQL,stayvsburst,168,2.228222222222222,2.2349969270814434
DiffQL,stayvsburst,169,2.2253333333333334,2.257271589307493
DiffQL,stayvsburst,170,2.218111111111111,2.2325764621642086
DiffQL,stayvsburst,171,2.2252222222222224,2.2572803311404503
DiffQL,stayvsburst,172,2.2226666666666666,2.235301179586123
DiffQL,stayvsburst,173,2.222,2.2131008588791157
DiffQL,stayvsburst,174,2.2212222222222224,2.2378517258766206
DiffQL,stayvsburst,175,2.2216666666666667,2.263685768081077
DiffQL,stayvsburst,176,2.2223333333333333,2.213343601036719
DiffQL,stayvsburst,177,2.2143333333333333,2.23630129302346
DiffQL,stayvsburst,178,2.221888888888889,2.2608891752245652
DiffQL,stayvsburst,179,2.2243333333333335,2.268315314610211
DiffQL,stayvsburst,180,2.2182222222222223,2.2282003322628867
DiffQL,stayvsburst,181,2.2191111111111113,2.280679662591478
DiffQL,stayvsburst,182,2.2271111111111113,2.2577907419720398
DiffQL,stayvsburst,183,2.223,2.234709307427986
DiffQL,stayvsburst,184,2.219333333333333,2.273979254141641
DiffQL,stayvsburst,185,2.226777777777778,2.2622417615687596
DiffQL,stayvsburst,186,2.2214444444444443,2.234942820305968
DiffQL,stayvsburst,187,2.2184444444444447,2.2450500892553795
DiffQL,stayvsburst,188,2.2212222222222224,2.258562800858675
DiffQL,stayvsburst,189,2.2271111111111113,2.251953168072637
DiffQL,stayvsburst,190,2.221111111111111,2.2941665602573647
DiffQL,stayvsburst,191,2.224222222222222,2.254881796070831
DiffQL,stayvsburst,192,2.2208888888888887,2.2668796309821095
DiffQL,stayvsburst,193,2.2231111111111113,2.222176857409866
DiffQL,stayvsburst,194,2.2225555555555556,2.218407596780476
DiffQL,stayvsburst,195,2.2174444444444443,2.2436164118779645
DiffQL,stayvsburst,196,2.219777777777778,2.2261422489466454
DiffQL,stayvsburst,197,2.216111111111111,2.242765404570975
DiffQL,stayvsburst,198,2.2254444444444443,2.2522235397080896
DiffQL,stayvsburst,199,2.223222222222222,2.27251452669977
DiffQL,stayvsburst,200,2.2156666666666665,2.266827264403998
DiffQL,stayvsburst,201,2.220111111111111,2.2572456771540814
DiffQL,stayvsburst,202,2.2194444444444446,2.2400649995990882
DiffQL,stayvsburst,203,2.2264444444444442,2.239078024615069
DiffQL,stayvsburst,204,2.2248888888888887,2.247997402320273
DiffQL,stayvsburst,205,2.2212222222222224,2.234111887243201
DiffQL,stayvsburst,206,2.215333333333333,2.2251534840264524
DiffQL,stayvsburst,207,2.226111111111111,2.259047860422995
DiffQL,stayvsburst,208,2.221,2.2521964198860194
DiffQL,stayvsburst,209,2.224,2.274181682006229
DiffQL,stayvsburst,210,2.220111111111111,2.2637230170888967
DiffQL,stayvsburst,211,2.222111111111111,2.223840180909789
DiffQL,stayvsburst,212,2.0,2.2349306715630277
DiffQL,stayvsburst,213,2.0,2.2478102193739344
DiffQL,stayvsburst,214,2.227,2.210811317602424
