algo,mdp,run,rho_hat
RVIQL,resetdie,180,0.7486
RVIQL,resetdie,181,6.0
RVIQL,resetdie,182,6.0
RVIQL,resetdie,183,6.0
RVIQL,resetdie,184,6.0
RVIQL,resetdie,185,5.0
RVIQL,resetdie,186,6.0
RVIQL,resetdie,187,6.0
RVIQL,resetdie,188,6.0
RVIQL,resetdie,189,6.0
RVIQL,resetdie,190,6.0
RVIQL,resetdie,191,6.0
RVIQL,resetdie,192,6.0
RVIQL,resetdie,193,6.0
RVIQL,resetdie,194,3.0
RVIQL,resetdie,195,6.0
RVIQL,resetdie,196,4.0
RVIQL,resetdie,197,6.0
RVIQL,resetdie,198,3.0
RVIQL,resetdie,199,6.0
RVIQL,resetdie,200,3.0
RVIQL,resetdie,201,6.0
RVIQL,resetdie,202,5.0
RVIQL,resetdie,203,6.0
RVIQL,resetdie,204,6.0
RVIQL,resetdie,205,5.0
RVIQL,resetdie,206,6.0
RVIQL,resetdie,207,6.0
RVIQL,resetdie,208,3.0
RVIQL,resetdie,209,0.7533111111111112
RVIQL,resetdie,210,6.0
RVIQL,resetdie,211,6.0
RVIQL,resetdie,212,6.0
RVIQL,resetdie,213,0.7480444444444444
RVIQL,resetdie,214,6.0
RVIQL,resetdie,215,6.0
RVIQL,resetdie,216,6.0
RVIQL,resetdie,217,6.0
RVIQL,resetdie,218,6.0
RVIQL,resetdie,219,6.0
RVIQL,resetdie,220,6.0
RVIQL,resetdie,221,3.0
RVIQL,resetdie,222,6.0
RVIQL,resetdie,223,0.7500666666666667
RVIQL,resetdie,224,6.0
RVIQL,resetdie,225,6.0
RVIQL,resetdie,226,3.0
RVIQL,resetdie,227,6.0
RVIQL,resetdie,228,0.7567333333333334
RVIQL,resetdie,229,6.0
RVIQL,resetdie,230,6.0
RVIQL,resetdie,231,6.0
RVIQL,resetdie,232,5.0
RVIQL,resetdie,233,0.7434888888888889
RVIQL,resetdie,234,3.0
RVIQL,resetdie,235,6.0
RVIQL,resetdie,236,6.0
RVIQL,resetdie,237,6.0
RVIQL,resetdie,238,6.0
RVIQL,resetdie,239,0.7499333333333333
RVIQL,resetdie,240,6.0
RVIQL,resetdie,241,6.0
RVIQL,resetdie,242,0.7537555555555555
RVIQL,resetdie,243,6.0
RVIQL,resetdie,244,6.0
RVIQL,resetdie,245,0.7665333333333333
RVIQL,resetdie,246,0.7445555555555555
RVIQL,resetdie,247,3.0
RVIQL,resetdie,248,6.0
RVIQL,resetdie,249,6.0
RVIQL,resetdie,250,0.7566444444444445
RVIQL,resetdie,251,6.0
RVIQL,resetdie,252,6.0
RVIQL,resetdie,253,6.0
RVIQL,resetdie,254,6.0
RVIQL,resetdie,255,0.7486
RVIQL,resetdie,256,3.0
RVIQL,resetdie,257,3.0
RVIQL,resetdie,258,5.0
RVIQL,resetdie,259,3.0
RVIQL,resetdie,260,6.0
RVIQL,resetdie,261,6.0
RVIQL,resetdie,262,6.0
RVIQL,resetdie,263,6.0
RVIQL,resetdie,264,0.332
RVIQL,resetdie,265,6.0
RVIQL,resetdie,266,5.0
RVIQL,resetdie,267,0.7507555555555555
RVIQL,resetdie,268,6.0
RVIQL,resetdie,269,3.0
RVIQL,resetdie,270,5.0
RVIQL,resetdie,271,5.0
RVIQL,resetdie,272,6.0
RVIQL,resetdie,273,3.0
RVIQL,resetdie,274,6.0
RVIQL,resetdie,275,6.0
RVIQL,resetdie,276,6.0
RVIQL,resetdie,277,6.0
RVIQL,resetdie,278,5.0
RVIQL,resetdie,279,0.7504666666666666
RVIQL,resetdie,280,0.7512888888888889
RVIQL,resetdie,281,6.0
RVIQL,resetdie,282,6.0
RVIQL,resetdie,283,6.0
RVIQL,resetdie,284,6.0
RVIQL,resetdie,285,3.0
RVIQL,resetdie,286,0.7634444444444445
RVIQL,resetdie,287,0.7466
RVIQL,resetdie,288,6.0
RVIQL,resetdie,289,6.0
RVIQL,resetdie,290,6.0
RVIQL,resetdie,291,6.0
RVIQL,resetdie,292,6.0
RVIQL,resetdie,293,6.0
RVIQL,resetdie,294,3.0
RVIQL,resetdie,295,6.0
RVIQL,resetdie,296,6.0
RVIQL,resetdie,297,6.0
RVIQL,resetdie,298,6.0
RVIQL,resetdie,299,6.0
RVIQL,resetdie,300,6.0
RVIQL,resetdie,301,0.7390222222222222
RVIQL,resetdie,302,3.0
RVIQL,resetdie,303,6.0
RVIQL,resetdie,304,0.7504666666666666
RVIQL,resetdie,305,6.0
RVIQL,resetdie,306,3.0
RVIQL,resetdie,307,6.0
RVIQL,resetdie,308,6.0
RVIQL,resetdie,309,6.0
RVIQL,resetdie,310,6.0
RVIQL,resetdie,311,6.0
RVIQL,resetdie,312,3.0
RVIQL,resetdie,313,6.0
RVIQL,resetdie,314,0.7484666666666666
RVIQL,resetdie,315,6.0
RVIQL,resetdie,316,6.0
RVIQL,resetdie,317,6.0
RVIQL,resetdie,318,3.0
RVIQL,resetdie,319,6.0
RVIQL,resetdie,320,0.7632
RVIQL,resetdie,321,6.0
RVIQL,resetdie,322,6.0
RVIQL,resetdie,323,6.0
RVIQL,resetdie,324,6.0
RVIQL,resetdie,325,6.0
RVIQL,resetdie,326,3.0
RVIQL,resetdie,327,6.0
RVIQL,resetdie,328,6.0
RVIQL,resetdie,329,6.0
RVIQL,resetdie,330,6.0
RVIQL,resetdie,331,6.0
RVIQL,resetdie,332,5.0
RVIQL,resetdie,333,6.0
RVIQL,resetdie,334,6.0
RVIQL,resetdie,335,6.0
RVIQL,resetdie,336,6.0
RVIQL,resetdie,337,0.7515777777777778
RVIQL,resetdie,338,6.0
RVIQL,resetdie,339,5.0
RVIQL,resetdie,340,6.0
RVIQL,resetdie,341,6.0
RVIQL,resetdie,342,0.7677333333333334
RVIQL,resetdie,343,3.0
RVIQL,resetdie,344,6.0
RVIQL,resetdie,345,0.755
RVIQL,resetdie,346,6.0
RVIQL,resetdie,347,5.0
RVIQL,resetdie,348,0.7496888888888888
RVIQL,resetdie,349,6.0
RVIQL,resetdie,350,6.0
RVIQL,resetdie,351,0.7521777777777777
RVIQL,resetdie,352,6.0
RVIQL,resetdie,353,0.7532444444444445
RVIQL,resetdie,354,0.7550888888888889
RVIQL,resetdie,355,6.0
RVIQL,resetdie,356,3.0
RVIQL,resetdie,357,6.0
RVIQL,resetdie,358,6.0
RVIQL,resetdie,359,6.0
RVIQL,resetdie,360,6.0
RVIQL,resetdie,361,6.0
RVIQL,resetdie,362,6.0
RVIQL,resetdie,363,6.0
RVIQL,resetdie,364,6.0
RVIQL,resetdie,365,6.0
RVIQL,resetdie,366,3.0
RVIQL,resetdie,367,6.0
RVIQL,resetdie,368,5.0
RVIQL,resetdie,369,6.0
RVIQL,resetdie,370,3.0
RVIQL,resetdie,371,6.0
RVIQL,resetdie,372,6.0
RVIQL,resetdie,373,3.0
RVIQL,resetdie,374,6.0
RVIQL,resetdie,375,3.0
RVIQL,resetdie,376,0.7473777777777778
RVIQL,resetdie,377,0.7565555555555555
RVIQL,resetdie,378,6.0
RVIQL,resetdie,379,6.0
RVIQL,resetdie,380,6.0
RVIQL,resetdie,381,3.0
RVIQL,resetdie,382,6.0
RVIQL,resetdie,383,6.0
RVIQL,resetdie,384,6.0
RVIQL,resetdie,385,6.0
RVIQL,resetdie,386,6.0
RVIQL,resetdie,387,6.0
RVIQL,resetdie,388,6.0
RVIQL,resetdie,389,6.0
RVIQL,resetdie,390,5.0
RVIQL,resetdie,391,6.0
RVIQL,resetdie,392,6.0
RVIQL,resetdie,393,6.0
RVIQL,resetdie,394,3.0
RVIQL,resetdie,395,6.0
RVIQL,resetdie,396,6.0
RVIQL,resetdie,397,0.7666888888888889
RVIQL,resetdie,398,6.0
RVIQL,resetdie,399,6.0
RVIQL,resetdie,400,0.7526666666666667
RVIQL,resetdie,401,0.7567777777777778
RVIQL,resetdie,402,6.0
RVIQL,resetdie,403,5.0
RVIQL,resetdie,404,6.0
RVIQL,resetdie,405,6.0
RVIQL,resetdie,406,6.0
RVIQL,resetdie,407,0.7689111111111111
RVIQL,resetdie,408,6.0
RVIQL,resetdie,409,6.0
RVIQL,resetdie,410,6.0
RVIQL,resetdie,411,6.0
RVIQL,resetdie,412,6.0
RVIQL,resetdie,413,3.0
RVIQL,resetdie,414,6.0
RVIQL,resetdie,415,6.0
RVIQL,resetdie,416,6.0
RVIQL,resetdie,417,6.0
RVIQL,resetdie,418,0.7533555555555556
RVIQL,resetdie,419,6.0
RVIQL,resetdie,420,5.0
RVIQL,resetdie,421,3.0
RVIQL,resetdie,422,6.0
RVIQL,resetdie,423,6.0
RVIQL,resetdie,424,6.0
RVIQL,resetdie,425,6.0
RVIQL,resetdie,426,6.0
RVIQL,resetdie,427,5.0
RVIQL,resetdie,428,3.0
RVIQL,resetdie,429,6.0
RVIQL,resetdie,430,0.7430222222222223
RVIQL,resetdie,431,6.0
RVIQL,resetdie,432,6.0
RVIQL,resetdie,433,6.0
RVIQL,resetdie,434,6.0
RVIQL,resetdie,435,6.0
RVIQL,resetdie,436,5.0
RVIQL,resetdie,437,5.0
RVIQL,resetdie,438,6.0
RVIQL,resetdie,439,0.7717333333333334
RVIQL,resetdie,440,6.0
RVIQL,resetdie,441,6.0
RVIQL,resetdie,442,6.0
RVIQL,resetdie,443,6.0
RVIQL,resetdie,444,6.0
RVIQL,resetdie,445,6.0
