algo,mdp,run,rho_hat
RVIQL,twostate,199,1.0
RVIQL,twostate,200,1.0
RVIQL,twostate,201,1.0
RVIQL,twostate,202,1.0
RVIQL,twostate,203,1.0
RVIQL,twostate,204,1.0
RVIQL,twostate,205,1.0
RVIQL,twostate,206,1.0
RVIQL,twostate,207,1.0
RVIQL,twostate,208,1.0
RVIQL,twostate,209,1.0
RVIQL,twostate,210,1.0
RVIQL,twostate,211,1.0
RVIQL,twostate,212,1.0
RVIQL,twostate,213,1.0
RVIQL,twostate,214,1.0
RVIQL,twostate,215,1.0
RVIQL,twostate,216,1.0
RVIQL,twostate,217,1.0
RVIQL,twostate,218,1.0
RVIQL,twostate,219,1.0
RVIQL,twostate,220,1.0
RVIQL,twostate,221,1.0
RVIQL,twostate,222,1.0
RVIQL,twostate,223,1.0
RVIQL,twostate,224,1.0
RVIQL,twostate,225,1.0
RVIQL,twostate,226,1.0
RVIQL,twostate,227,1.0
RVIQL,twostate,228,1.0
RVIQL,twostate,229,1.0
RVIQL,twostate,230,1.0
RVIQL,twostate,231,1.0
RVIQL,twostate,232,1.0
RVIQL,twostate,233,1.0
RVIQL,twostate,234,1.0
RVIQL,twostate,235,1.0
RVIQL,twostate,236,1.0
RVIQL,twostate,237,1.0
RVIQL,twostate,238,1.0
RVIQL,twostate,239,1.0
RVIQL,twostate,240,1.0
RVIQL,twostate,241,1.0
RVIQL,twostate,242,1.0
RVIQL,twostate,243,1.0
RVIQL,twostate,244,1.0
RVIQL,twostate,245,1.0
RVIQL,twostate,246,1.0
RVIQL,twostate,247,1.0
RVIQL,twostate,248,1.0
RVIQL,twostate,249,1.0
RVIQL,twostate,250,1.0
RVIQL,twostate,251,1.0
RVIQL,twostate,252,1.0
RVIQL,twostate,253,1.0
RVIQL,twostate,254,1.0
RVIQL,twostate,255,1.0
RVIQL,twostate,256,1.0
RVIQL,twostate,257,1.0
RVIQL,twostate,258,1.0
RVIQL,twostate,259,1.0
RVIQL,twostate,260,1.0
RVIQL,twostate,261,1.0
RVIQL,twostate,262,1.0
RVIQL,twostate,263,1.0
RVIQL,twostate,264,1.0
RVIQL,twostate,265,1.0
RVIQL,twostate,266,1.0
RVIQL,twostate,267,1.0
RVIQL,twostate,268,1.0
RVIQL,twostate,269,1.0
RVIQL,twostate,270,1.0
RVIQL,twostate,271,1.0
RVIQL,twostate,272,1.0
RVIQL,twostate,273,1.0
RVIQL,twostate,274,1.0
RVIQL,twostate,275,1.0
RVIQL,twostate,276,1.0
RVIQL,twostate,277,1.0
RVIQL,twostate,278,1.0
RVIQL,twostate,279,1.0
RVIQL,twostate,280,1.0
RVIQL,twostate,281,1.0
RVIQL,twostate,282,1.0
RVIQL,twostate,283,1.0
RVIQL,twostate,284,1.0
RVIQL,twostate,285,1.0
RVIQL,twostate,286,1.0
RVIQL,twostate,287,1.0
RVIQL,twostate,288,1.0
RVIQL,twostate,289,1.0
RVIQL,twostate,290,1.0
RVIQL,twostate,291,1.0
RVIQL,twostate,292,1.0
RVIQL,twostate,293,1.0
RVIQL,twostate,294,1.0
RVIQL,twostate,295,1.0
RVIQL,twostate,296,1.0
RVIQL,twostate,297,1.0
RVIQL,twostate,298,1.0
RVIQL,twostate,299,1.0
RVIQL,twostate,300,1.0
RVIQL,twostate,301,1.0
RVIQL,twostate,302,1.0
RVIQL,twostate,303,1.0
RVIQL,twostate,304,1.0
RVIQL,twostate,305,1.0
RVIQL,twostate,306,1.0
RVIQL,twostate,307,1.0
RVIQL,twostate,308,1.0
RVIQL,twostate,309,1.0
RVIQL,twostate,310,1.0
RVIQL,twostate,311,1.0
RVIQL,twostate,312,1.0
RVIQL,twostate,313,1.0
RVIQL,twostate,314,1.0
RVIQL,twostate,315,1.0
RVIQL,twostate,316,1.0
RVIQL,twostate,317,1.0
RVIQL,twostate,318,1.0
RVIQL,twostate,319,1.0
RVIQL,twostate,320,1.0
RVIQL,twostate,321,1.0
RVIQL,twostate,322,1.0
RVIQL,twostate,323,1.0
RVIQL,twostate,324,1.0
RVIQL,twostate,325,1.0
RVIQL,twostate,326,1.0
RVIQL,twostate,327,1.0
RVIQL,twostate,328,1.0
RVIQL,twostate,329,1.0
RVIQL,twostate,330,1.0
RVIQL,twostate,331,1.0
RVIQL,twostate,332,1.0
RVIQL,twostate,333,1.0
RVIQL,twostate,334,1.0
RVIQL,twostate,335,1.0
RVIQL,twostate,336,1.0
RVIQL,twostate,337,1.0
RVIQL,twostate,338,1.0
RVIQL,twostate,339,1.0
RVIQL,twostate,340,1.0
RVIQL,twostate,341,1.0
RVIQL,twostate,342,1.0
RVIQL,twostate,343,1.0
RVIQL,twostate,344,1.0
RVIQL,twostate,345,1.0
RVIQL,twostate,346,1.0
RVIQL,twostate,347,1.0
RVIQL,twostate,348,1.0
RVIQL,twostate,349,1.0
RVIQL,twostate,350,1.0
RVIQL,twostate,351,1.0
RVIQL,twostate,352,1.0
RVIQL,twostate,353,1.0
RVIQL,twostate,354,1.0
RVIQL,twostate,355,1.0
RVIQL,twostate,356,1.0
RVIQL,twostate,357,1.0
RVIQL,twostate,358,1.0
RVIQL,twostate,359,1.0
RVIQL,twostate,360,1.0
RVIQL,twostate,361,1.0
RVIQL,twostate,362,1.0
RVIQL,twostate,363,1.0
RVIQL,twostate,364,1.0
RVIQL,twostate,365,1.0
RVIQL,twostate,366,1.0
RVIQL,twostate,367,1.0
RVIQL,twostate,368,1.0
RVIQL,twostate,369,1.0
RVIQL,twostate,370,1.0
RVIQL,twostate,371,1.0
RVIQL,twostate,372,1.0
RVIQL,twostate,373,1.0
RVIQL,twostate,374,1.0
RVIQL,twostate,375,1.0
RVIQL,twostate,376,1.0
RVIQL,twostate,377,1.0
RVIQL,twostate,378,1.0
