algo,mdp,run,rho_empirical,rho_internal
DiffQL,access_control-automated,138,0.0,0.0
DiffQL,access_control-automated,139,0.0,0.0
DiffQL,access_control-automated,140,0.0,0.0
DiffQL,access_control-automated,141,0.0,0.0
DiffQL,access_control-automated,142,0.0,0.0
DiffQL,access_control-automated,143,0.0,0.0
DiffQL,access_control-automated,144,0.0,0.0
DiffQL,access_control-automated,145,0.0,0.0
DiffQL,access_control-automated,146,0.0,0.0
DiffQL,access_control-automated,147,0.0,0.0
DiffQL,access_control-automated,148,0.0,0.0
DiffQL,access_control-automated,149,0.0,0.0
DiffQL,access_control-automated,150,0.0,0.0
DiffQL,access_control-automated,151,0.0,0.0
DiffQL,access_control-automated,152,0.0,0.0
DiffQL,access_control-automated,153,0.0,0.0
DiffQL,access_control-automated,154,0.0,0.0
DiffQL,access_control-automated,155,0.0,0.0
DiffQL,access_control-automated,156,0.0,0.0
DiffQL,access_control-automated,157,0.0,0.0
DiffQL,access_control-automated,158,0.0,0.0
DiffQL,access_control-automated,159,0.0,0.0
DiffQL,access_control-automated,160,0.0,0.0
DiffQL,access_control-automated,161,0.0,0.0
DiffQL,access_control-automated,162,0.0,0.0
DiffQL,access_control-automated,163,0.0,0.0
DiffQL,access_control-automated,164,0.0,0.0
DiffQL,access_control-automated,165,0.0,0.0
DiffQL,access_control-automated,166,0.0,0.0
DiffQL,access_control-automated,167,0.0,0.0
DiffQL,access_control-automated,168,0.0,0.0
DiffQL,access_control-automated,169,0.0,0.0
DiffQL,access_control-automated,170,0.0,0.0
DiffQL,access_control-automated,171,0.0,0.0
DiffQL,access_control-automated,172,0.0,0.0
DiffQL,access_control-automated,173,0.0,0.0
DiffQL,access_control-automated,174,0.0,0.0
DiffQL,access_control-automated,175,0.0,0.0
DiffQL,access_control-automated,176,0.0,0.0
DiffQL,access_control-automated,177,0.0,0.0
DiffQL,access_control-automated,178,0.0,0.0
DiffQL,access_control-automated,179,0.0,0.0
DiffQL,access_control-automated,180,0.0,0.0
DiffQL,access_control-automated,181,0.0,0.0
DiffQL,access_control-automated,182,0.0,0.0
DiffQL,access_control-automated,183,0.0,0.0
DiffQL,access_control-automated,184,0.0,0.0
DiffQL,access_control-automated,185,0.0,0.0
DiffQL,access_control-automated,186,0.0,0.0
